uf,vf,wf
28.9,-2.17,0.4
29.485,-0.93,0.17
29.7775,-0.31,0.055
30.07,0.31,-0.06
31.02,-1.27,-0.28
29.87,-3.26,-0.23
29.01,1.07,-0.31
28.42,-1.15,0.6
28.33,-1.0,-0.27
30.37,-2.26,-0.46
27.88,2.52,0.82
23.88,-1.37,0.8
27.14,-1.92,0.83
30.93,-0.68,1.54
30.46,-0.08,1.42
33.21,-0.24,0.99
28.04,3.7,1.31
27.835,0.955,1.155
27.7325,-0.4175,1.0775
27.63,-1.79,1.0
31.45,-0.48,1.52
29.82,-2.85,1.2
30.58,-2.92,1.475
30.96,-2.955,1.6125
31.15,-2.9725,1.6812
31.245,-2.9812,1.7156
31.2925,-2.9856,1.7328
31.3162,-2.9878,1.7414
31.3281,-2.9889,1.7457
31.334,-2.9894,1.7478
31.337,-2.9897,1.7489
31.3385,-2.9898,1.7494
31.34,-2.99,1.75
29.69,-0.37,0.74
30.72,-1.83,0.43
29.17,-2.12,0.48
30.52,0.43,0.35
28.24,0.06,0.35
29.04,0.245,0.39
29.44,0.3375,0.41
29.64,0.3838,0.42
29.74,0.4069,0.425
29.79,0.4184,0.4275
29.84,0.43,0.43
29.49,-0.52,-0.01
30.73,-0.08,-0.34
27.0,0.44,-0.71
27.05,1.26,-0.37
27.88,0.82,-0.65
26.84,1.74,-0.4
28.0,-1.53,-0.76
29.31,-1.32,-0.38
29.69,0.21,-0.65
28.99,-1.21,-0.35
28.96,-0.85,-0.35
27.59,-1.57,-0.06
28.22,0.06,-0.17
28.06,0.06,-0.28
28.51,-0.3,0.0
28.94,0.515,-0.245
29.37,1.33,-0.49
26.87,1.74,-0.055
25.62,1.945,0.1625
24.995,2.0475,0.2712
24.37,2.15,0.38
27.075,1.05,0.24
28.4275,0.5,0.17
29.1038,0.225,0.135
29.4419,0.0875,0.1175
29.611,0.0187,0.1088
29.78,-0.05,0.1
28.24,-1.86,-0.37
29.055,-1.145,-0.12
29.4625,-0.7875,0.005
29.6662,-0.6088,0.0675
29.87,-0.43,0.13
31.25,0.76,-0.77
29.535,0.61,0.635
28.6775,0.535,1.3375
28.2488,0.4975,1.6888
28.0344,0.4788,1.8644
27.9272,0.4694,1.9522
27.8736,0.4647,1.9961
27.8468,0.4624,2.018
27.8334,0.4612,2.029
27.82,0.46,2.04
25.38,-0.21,1.62
29.44,0.59,1.15
28.415,0.235,1.17
27.9025,0.0575,1.18
27.6462,-0.0312,1.185
27.39,-0.12,1.19
28.36,0.38,1.65
28.045,0.15,1.645
27.73,-0.08,1.64
26.62,-0.32,1.26
25.67,-2.15,1.26
25.94,0.27,1.24
27.68,0.24,0.54
29.37,0.41,0.24
29.37,-1.43,-0.12
28.18,-0.76,-0.08
28.7,-0.82,-0.76
28.81,0.48,-1.19
29.71,-1.48,-1.38
28.42,-1.7,-1.67
29.91,-2.29,-1.16
28.94,-3.88,-1.64
28.535,-2.015,0.1
28.3325,-1.0825,0.97
28.2312,-0.6162,1.405
28.1806,-0.3831,1.6225
28.1553,-0.2666,1.7312
28.13,-0.15,1.84
27.825,-0.53,2.05
27.52,-0.91,2.26
29.065,-2.155,2.06
29.8375,-2.7775,1.96
30.2238,-3.0888,1.91
30.61,-3.4,1.86
24.12,-3.97,1.11
24.86,-2.05,1.205
25.6,-0.13,1.3
25.7,1.15,1.3
25.87,0.57,1.15
27.23,-0.32,1.64
28.56,0.54,0.7
26.66,2.17,0.93
29.51,1.27,0.08
27.45,3.17,0.07
27.36,3.37,0.19
28.22,0.74,-0.57
30.73,3.92,-0.48
28.15,-1.19,-0.54
27.07,-2.015,-0.755
26.53,-2.4275,-0.8625
25.99,-2.84,-0.97
25.69,-3.35,0.0
26.19,0.73,-0.23
28.96,-0.66,-0.27
28.48,-0.13,-0.73
28.0,0.4,-1.19
25.635,0.835,-0.715
23.27,1.27,-0.24
22.57,-0.19,0.1
25.69,0.74,0.57
26.49,-1.86,0.87
30.05,-0.86,0.76
28.63,1.9,0.93
29.73,-0.05,0.78
28.6,1.53,0.82
29.02,-0.125,0.855
29.23,-0.9525,0.8725
29.335,-1.3662,0.8812
29.3875,-1.5731,0.8856
29.4138,-1.6766,0.8878
29.44,-1.78,0.89
30.64,-2.56,0.37
32.08,-1.16,-0.31
31.04,-1.51,-0.38
29.35,-1.92,0.1
28.45,-2.445,0.02
27.55,-2.97,-0.06
