ui,vi,wi
28.9,-2.17,0.4
78.2,0.17,13.13
-21.25,-1.04,-13.19
30.07,0.31,-0.06
31.02,-1.27,-0.28
29.87,-3.26,-0.23
29.01,1.07,-0.31
28.42,-1.15,0.6
28.33,-1,-0.27
30.37,-2.26,-0.46
27.88,2.52,0.82
23.88,-1.37,0.8
27.14,-1.92,0.83
30.93,-0.68,1.54
30.46,-0.08,1.42
33.21,-0.24,0.99
28.04,3.7,1.31
-21.42,-0.87,13.76
25.17,-0.86,26.6
27.63,-1.79,1
31.45,-0.48,1.52
29.82,-2.85,1.2
-70.09,0.26,0.76
-20.44,0.99,14.01
31.83,0.2,-25.31
79.82,0.15,-12.43
34.56,1.94,24.41
-71.09,1.64,-0.15
-20.14,2.05,-12.91
-19.05,2.94,-12.98
81.15,2.27,13.84
81.69,-0.54,14.48
31.34,-2.99,1.75
29.69,-0.37,0.74
30.72,-1.83,0.43
29.17,-2.12,0.48
30.52,0.43,0.35
28.24,0.06,0.35
78.78,-2.19,-12.78
77.42,0.13,-12.74
-71.82,-2.52,-0.35
-74.44,-0.85,-0.71
-19.37,0.13,-12.59
29.84,0.43,0.43
29.49,-0.52,-0.01
30.73,-0.08,-0.34
27,0.44,-0.71
27.05,1.26,-0.37
27.88,0.82,-0.65
26.84,1.74,-0.4
28,-1.53,-0.76
29.31,-1.32,-0.38
29.69,0.21,-0.65
28.99,-1.21,-0.35
28.96,-0.85,-0.35
27.59,-1.57,-0.06
28.22,0.06,-0.17
28.06,0.06,-0.28
28.51,-0.3,0
77.64,0.13,-12.53
29.37,1.33,-0.49
-23.31,0.83,12.8
-25.87,1,12.54
-21.22,2.56,12.51
24.37,2.15,0.38
77.89,0.88,14.66
-21.67,-2.26,-12.64
-16.7,-2.61,-12.63
-67,-0.82,-0.46
-19.73,-0.71,-13.18
29.78,-0.05,0.1
28.24,-1.86,-0.37
-23.74,-1.64,12.56
78.85,-1.86,12.54
27.97,-49.88,0.07
29.87,-0.43,0.13
31.25,0.76,-0.77
-20.4,2.36,12.22
-71.21,0.66,-0.07
-73.58,-1.93,0.15
-70.06,-0.1,-0.17
-71.74,-47.88,-0.41
-72.97,-49.9,0.06
27.27,1.54,26.15
-21.05,-0.76,-12.25
27.82,0.46,2.04
25.38,-0.21,1.62
29.44,0.59,1.15
75.7,0.4,-12.03
76.17,3.94,13.69
-73.83,1.13,0.76
27.39,-0.12,1.19
28.36,0.38,1.65
-22.66,-0.05,-11.58
27.73,-0.08,1.64
26.62,-0.32,1.26
25.67,-2.15,1.26
25.94,0.27,1.24
27.68,0.24,0.54
29.37,0.41,0.24
29.37,-1.43,-0.12
28.18,-0.76,-0.08
28.7,-0.82,-0.76
28.81,0.48,-1.19
29.71,-1.48,-1.38
28.42,-1.7,-1.67
29.91,-2.29,-1.16
28.94,-3.88,-1.64
-23.69,-3.44,11.47
-24.46,1.66,10.89
-25.29,-49.9,-14.64
70.74,-0.92,-12.96
-24.78,2.07,-11.15
28.13,-0.15,1.84
75.91,1.6,-10.94
27.52,-0.91,2.26
76.77,-2.14,14.68
-23.19,-2.05,-11.94
79.51,-3.18,14.63
30.61,-3.4,1.86
24.12,-3.97,1.11
75.59,-2.85,-11.41
25.6,-0.13,1.3
25.7,1.15,1.3
25.87,0.57,1.15
27.23,-0.32,1.64
28.56,0.54,0.7
26.66,2.17,0.93
29.51,1.27,0.08
27.45,3.17,0.07
27.36,3.37,0.19
28.22,0.74,-0.57
30.73,3.92,-0.48
28.15,-1.19,-0.54
-20.28,-1.6,-13.97
-17.02,-2.72,-14.28
25.99,-2.84,-0.97
25.69,-3.35,0
26.19,0.73,-0.23
28.96,-0.66,-0.27
125.75,3.1,0.21
28,0.4,-1.19
76.95,1.43,-13.09
23.27,1.27,-0.24
22.57,-0.19,0.1
25.69,0.74,0.57
26.49,-1.86,0.87
30.05,-0.86,0.76
28.63,1.9,0.93
29.73,-0.05,0.78
28.6,1.53,0.82
78.88,-0.93,-12.21
-23.61,51.62,12.37
76.27,-48.73,-12.8
29.53,1.24,-25.08
80.43,-0.27,-11.93
29.44,-1.78,0.89
30.64,-2.56,0.37
32.08,-1.16,-0.31
31.04,-1.51,-0.38
29.35,-1.92,0.1
-22.92,-0.41,12.79
27.55,-2.97,-0.06
28.22,-3.88,-0.28
28,-4.67,-0.21
27.97,-3.59,-0.4
29.26,-4.49,-0.15
28.36,-2.36,-0.03
31.4,-1.33,-0.35
31.2,-3.31,-0.52
27.3,-1.84,-0.43
28.22,-5.79,-0.41
30.52,-3.07,-0.52
32.1,-0.52,-0.27
30.52,-3.04,-0.51
29.12,0.89,-0.26
29.21,-4.08,-0.7
28.6,-2.61,-0.26
30.95,-2.4,0.74
31.79,-3.37,0.24
31.36,-4.5,-0.05
30.93,-3.06,-0.43
32.87,-5.24,-0.65
32.82,-7.02,-0.92
31.9,-15.52,-0.96
25.42,-10.88,-0.57
77.28,-7.62,-13.19
-22.25,-8.95,12.43
-22.92,-53.51,13.98
26.64,-50.19,26.82
-22.49,-2.72,14.83
22.57,-3.37,28.08
-72.18,-2.07,2.34
28.15,-50.66,27.68
-20.45,0.27,-11.11
29.33,-1.99,1.62
31.47,0.46,1.62
31.29,0.99,1.83
33.27,-1.44,0.51
32.64,-0.92,-0.38
32.1,-1.26,-0.13
31.97,-0.07,-0.77
33.91,-1.09,-1.53
79.86,0.82,-13.45
-25.27,-7.15,12.7
26.15,-5.33,25.26
77.64,-53.03,12.68
34.43,-6.8,0.68
-18.36,-4.76,-12.82
29.31,-2.74,-0.23
29.21,-4.54,0.15
31.58,-1.65,0.63
31.25,0.12,0.34
31.09,-1.75,0.38
31.36,-0.82,0.12
29.46,1.56,0.7
27.7,-1.62,0.46
29.8,-0.86,0.38
82.96,-1.68,-12.12
85.07,0.94,-13.35
-17.89,0.81,-13.84
-18.85,0.1,-14.25
-25.36,0.94,12.86
-73.72,-0.17,-0.73
-19.67,1.57,-14.38
78.6,-4.19,11.68
30.19,0.19,-0.76
-23.37,1.99,12.53
29.1,-0.03,-0.27
-23.11,-0.3,12.53
27.32,1.42,25.88
27.18,1.53,25.2
-23.88,1.4,-13.4
-22.89,2.73,-12.25
26.75,3.99,0.28
26.6,4.08,0.68
25.7,3.5,1.08
29.66,2.96,-0.19
-22.11,3.35,14.37
28.74,0.08,1.7
26.98,-1.79,1.37
29.96,-0.31,2.11
31.47,-3.4,2.16
30.23,-0.55,1.75
28.11,-4.54,1.42
-22.03,-3.46,14.66
28.38,-1.99,1.72
-25.02,-0.63,14.13
25.88,-3.46,1.94
-24.05,-1.2,-11.06
-72.9,-50.4,1.62
28.16,-1.26,2.56
27.43,-0.89,2.76
28.29,-0.76,2.08
26.93,-0.94,1.53
30.3,-0.73,1.93
28.87,0.77,1.64
-21.84,-1.08,13.96
27.59,-0.06,1
24.37,-0.92,0.91
25.88,-0.24,1.64
26.87,-1.25,1.89
27.45,-2.1,2.22
28.38,-1.38,1.97
27.14,-1.42,2.08
-21.43,-0.89,14.21
29.8,49.21,1.38
26.8,-1.26,1.14
-22.74,-1.42,14.95
24.74,-0.55,27.54
-24.87,-2.65,15
-18.14,-0.13,13.7
-22.13,-2.75,14.21
-72.32,-48.89,1.37
32.65,0.92,27.7
-70.38,1.05,1.33
-19.37,1.42,-11.55
27.82,1.6,0.87
28.76,1.26,0.89
29.24,0.54,0.46
30.52,3.35,0.43
31.63,1.98,-0.12
31.72,0.68,0.27
30.54,-2.51,-0.82
-25.74,0.76,13.03
-23.53,1.71,12.82
-26.62,-4.16,13.07
24.74,-2.09,-0.35
27.59,-1.63,0.87
28.24,-0.54,0.82
27.82,0.68,0.38
-23.34,-0.21,13.39
77.27,-1.41,-11.93
26.37,-1.25,0.48
26.06,-2.94,0.73
76.95,-1.25,-11.18
24.89,-0.27,1.22
-23.25,1.64,14.36
25.56,0.35,1.07
-25.85,1.11,14.01
24.48,-0.65,1.62
75.48,-0.89,14.33
27.77,-0.71,1.46
25.38,0,2.41
27.21,-0.46,2.06
-21.34,-0.82,14.38
-24.39,1.36,14.15
-22.16,-0.2,13.77
76.8,3.44,-11.41
26.62,2.3,0.66
-23.52,3.22,-12.63
-22.66,0.52,-13.16
26.66,-0.65,0.1
27.39,-1.99,0.31
27.95,0.6,0.8
26.87,-0.99,0.46
28.29,-1.09,0.41
28.27,0.8,-0.08
28.63,1,0.31
28.2,1.24,0.07
27.75,0.44,0.17
26.19,-0.71,-0.1
26.73,-1.75,0.55
26.46,0.2,0.66
27.07,-0.86,0.65
26.06,-0.83,0.98
27.37,-2.99,0.98
27.91,-3.9,0.91
-22.66,-4.17,13.44
-22.64,-2.59,12.91
-23.57,-2.41,13.61
25.72,-0.65,0.68
28.02,0.06,1.11
26.17,-1.72,0.55
26.71,-2.52,0.57
27.16,-2.78,0.31
28.61,-0.65,0.24
27.81,0.7,0.34
-21.92,0.82,13.12
26.26,0.21,0.41
27.54,1.44,0.26
24.79,3.92,-0.43
27.16,-0.27,-0.12
27.88,0.2,0.51
26.67,0.38,0.27
-22.33,-0.71,12.51
-21.51,1.56,12.37
25.44,-45.57,0.31
-26.8,1.2,-13.09
25.85,-1.93,-0.57
-23.63,1.16,-13.17
-17.43,-0.87,-13.51
28.9,0.41,0.17
-23.03,0.38,13.22
-77.77,0.99,0.4
-76.74,0.35,0.17
-73.87,2.09,0.17
-72.97,1.15,0.27
-73.25,2.31,0.52
-25.65,0.46,14.27
-25.72,1.66,14.12
-24.24,2.15,14
25.81,2.33,2.09
-23.58,2.25,-11.15
-26.12,1.42,-11.64
25.67,1.9,1.38
25.85,1.42,1.47
23.87,2.58,2.49
25.4,1.48,2.08
24.67,1.14,2.94
23.2,2.3,3.11
-23.35,2.31,14.85
-21.23,2.15,15.91
-20.35,-47.44,15.61
26.87,2.18,2.52
27.84,-1.11,2.26
27.28,-1.68,2.04
26.66,-0.43,2.1
26.71,-0.44,2.17
26.78,0.87,2.05
27,0.74,1.89
24.16,-0.2,1.96
25.24,-0.8,2.38
26.85,-1.55,1.84
29.51,-2.03,2.06
28.67,-2.16,1.31
29.35,-1.24,1.35
29.49,-1.31,0.97
27.72,-1.35,0.37
29.24,-1.63,0.17
29.64,-1.42,-0.28
29.08,-3.57,-0.1
-24.14,-4.25,12.7
-20.32,-5.11,12.08
-22.32,-5.75,-13.77
25.47,-6.97,0.63
23.37,-6.62,1.09
27.7,-0.24,1.97
29.87,0.4,2.71
30.64,-0.55,2.36
28.74,-0.26,2.29
28.9,2.19,1.98
-17.05,-1.43,12.9
29.69,0.03,0.59
76.8,-1.59,-12.24
77.91,-0.89,-11.46
-72.14,-1.05,-0.31
-72.15,-49.57,-0.87
-24.94,0.28,13.24
-21.26,0.46,12.13
-21.59,1.63,-11.81
27.79,2.28,0.71
28.33,-2.16,0.4
30.34,-0.62,-0.03
-19.3,-2.21,12.52
-71.56,-3.39,-0.21
-72.06,-3.55,-0.49
29.89,-3.33,-26.15
-20.17,-1.11,12.63
28.79,-3.97,-0.2
28.99,-0.73,-0.05
-20.26,-2.41,-13.89
28.87,-2.96,0.27
29.26,-3.73,-0.52
28.85,-1.61,-0.43
29.94,-3,-0.8
-23.19,-1.98,11.93
30.59,-2.08,-1.11
26.66,-4.43,-0.7
76.99,-3.61,12.53
-19.5,-5.27,-12.68
29.94,-3.02,-1.11
31.06,-2.44,-1.3
30.46,-5.13,-1.35
30.03,-1.29,-1.42
29.73,-4.19,-1.94
28.92,-6.03,-1.76
29.8,-2.53,-1.93
29.92,-1.75,-1.47
79.87,-4.32,-14.28
26.4,-4.87,-0.93
-22.65,-2.49,11.54
29.78,0.28,-1.53
-20.55,-3.79,10.93
26.85,1.44,-1.42
-73.28,-2.31,-1.96
-22.31,-2.94,-13.75
-22.06,0.06,-14.12
28.99,1.26,-1.54
29.73,-0.13,-1.86
29.51,3.88,-1.9
-21.81,-0.43,-15.11
28.72,-1.19,-2.37
27.34,-3.03,-1.73
27.3,-2.87,-1.1
-24.67,-3.79,12.16
27.59,0.51,-0.27
28.06,0.63,-0.51
-21.66,1.38,-13.85
29.21,0.71,-0.88
29.44,0.1,-0.66
-21.99,2.48,12.12
30.14,0.82,-1.32
-75.27,0.55,-2.18
-75.3,-49.39,-2.12
-71.36,-47.74,-1.14
-73.82,-48.78,-0.74
24.02,-46.41,25.52
124.73,-44.71,0.2
-72.69,-47.62,-0.65
81.66,-1.21,11.87
-20.02,-1.86,-13.85
29.96,-2.36,-1.1
28.42,-0.34,-0.68
-22.93,-0.03,11.4
79.1,-2.96,-14.12
-21.93,-0.24,10.71
-23.56,-0.28,10.92
-24.23,-2.87,10.77
-78.35,-1.1,-1.11
-71.88,-47.18,-1.95
-74.11,-1.11,-2.45
-73.66,-0.05,-1.86
-75.3,0.88,-2.76
-72.06,0.24,-2.38
-74.83,0.92,-2.18
-77.32,1.46,-2.63
-76.75,0.77,-2.16
27.3,-1.67,-27.77
27.34,0.43,-2.58
-23.8,-0.52,-15.44
-26.46,-1.42,10.64
-25.88,-0.76,10.45
24.51,-46.07,-1.62
26.21,1.6,-0.82
25.67,0.07,-1.31
25.81,0.52,-1.37
25.09,0.57,-1.62
26.33,1.1,-1.64
25.74,-0.26,-1.47
24.93,1.46,-1.55
24.08,-0.55,-1.66
22.78,-1.63,-1.46
23.07,1.81,-1.63
-22.58,1.31,11.29
-23.02,-0.1,11.06
75.73,-1.35,-13.6
26.6,-2.06,-27.18
27.36,0.52,-1.05
-23.07,-1.67,11.18
25.92,3.42,-1.07
26.39,-0.38,-1.31
28.92,1.37,-0.87
27.18,-1.37,-0.68
-22.17,-2.92,11.74
76.94,-3.95,-13.59
-21.06,-1.05,11.6
29.3,-48.14,-1.09
-21.44,-47.6,11.43
-24.17,3.26,11.98
-76.21,1.63,-1.2
22.05,0.23,24.67
-25.38,1.37,-13.65
126.04,1.57,0.28
26.91,3.22,-0.03
-22.75,2.43,12.28
-23.26,0.73,11.82
-25.24,1.09,11.76
24.35,1.68,-25.97
-24.19,2.2,12.22
75.41,1.4,-12.86
-23.81,1.53,11.93
24.43,0,24.97
128.12,0.93,-0.88
26.53,-1.43,24.67
-24.17,-0.52,-13.93
-23.22,1.04,-13.76
-22.24,2.2,-14.45
-23.21,1.92,12.21
-21.59,1.59,11.41
-22.58,0.48,11.43
76.98,2.78,-13.24
-22.9,-46.75,-13.77
-21.27,0.31,-13.53
26.33,0.6,-0.91
-22.63,0.46,12.35
-21.89,3.64,11.76
-21.54,2.09,12.09
-21.87,2.64,11.9
-23.01,2.05,-13.47
-27.09,0.48,-13.15
-25.45,0.2,-13.37
25.47,-0.05,-25.6
24.59,0.93,0.73
26.93,1.53,0.99
24.95,0.31,1.22
-23.9,0.98,-12.11
-24.07,5.62,-12.25
25.65,0.27,0.6
-22.68,2.09,-12.28
75.37,1.71,13.08
26.35,1.63,0.01
26.21,-0.03,-0.23
24.86,0.87,-26.08
-23.86,1.07,-13.43
